recharge_id,student_id,amount,date
1,4,200.0,2026-02-25
2,16,500.0,2026-01-13
3,10,200.0,2026-02-14
4,23,1500.0,2026-01-15
5,3,100.0,2026-03-10
6,14,200.0,2026-02-07
7,19,2000.0,2026-02-14
8,12,100.0,2026-03-08
9,16,2000.0,2026-02-22
10,16,500.0,2026-01-17
11,21,1500.0,2026-01-19
12,16,500.0,2026-02-27
13,20,1000.0,2026-02-03
14,27,100.0,2026-02-23
15,15,2000.0,2026-01-11
16,18,200.0,2026-02-05
17,14,2000.0,2026-01-30
18,29,2000.0,2026-02-26
19,6,500.0,2026-01-14
20,29,200.0,2026-02-05
21,10,1000.0,2026-01-20
22,29,2000.0,2026-02-08
23,19,1500.0,2026-03-10
24,18,1500.0,2026-01-24
25,30,1500.0,2026-02-13
26,3,200.0,2026-01-11
27,2,100.0,2026-02-24
28,27,500.0,2026-02-05
29,11,2000.0,2026-01-20
30,17,1500.0,2026-02-28
31,20,1500.0,2026-02-12
32,22,1000.0,2026-01-31
33,4,2000.0,2026-01-15
34,22,1000.0,2026-02-19
35,24,200.0,2026-03-05
36,2,1500.0,2026-01-28
37,8,200.0,2026-01-23
38,12,2000.0,2026-02-20
39,18,1000.0,2026-02-04
40,23,100.0,2026-01-13
